Title,Date1,Date2,Time,Location,Summary,Description,id
Hispanic Heritage Month,"Tuesday, October 15","Sept. 15 - Oct. 15, 2024",Midnight,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9891
17th International Exhibition of Botanical Art & Illustration,"Tuesday, October 15","October 15, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8422
30th Annual Andy Awards,"Tuesday, October 15","October 15, 2024",Noon - 2 p.m.,"McConomy Auditorium, Cohon University Center",Join us for this annual celebration as we recognize 59 staff members and 12 teams for their meaningful contributions to Carnegie Mellon University.,Join us for this annual celebration as we recognize 59 staff members and 12 teams for their meaningful contributions to Carnegie Mellon University.,12122
CMU Pantry Hours,"Tuesday, October 15","October 15, 2024",2 - 5 p.m. Weekly (to Dec 20),CMU Pantry,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,The CMU Pantry is a free resource that combats food insecurity by providing food assistance to CMU students and their dependents.,10062
Invisible Fight: Chronic Illness Support Group,"Tuesday, October 15","October 15, 2024",4 - 5 p.m. Weekly (to Dec 17),,"Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation.","Living with a chronic illness/medical condition can be an isolating experience. This support group is an opportunity for students who experience chronic conditions (i.e. asthma, diabetes, autoimmune diseases, cancer, and others) to gather in community for support and validation.",10887
LGBTQIA+ Support and Social Group,"Tuesday, October 15","October 15, 2024",6 - 7 p.m. Weekly (to Dec 10),Morewood Gardens Group Room,Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.,Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.,10931
Fall Break; No Classes,"Tuesday, October 15","October 14 - 19, 2024",All Day,,,"  The Academic Calendar includes registration dates, class start dates, add/drop deadlines, exam dates, and more. Doctoral course-sections follow a separate academic calendar.    Calendars for Heinz College, Tepper School of Business graduate courses, CMU-Africa, CMU-Australia, and CMU-Qatar can be found on The HUB Academic Calendar web page. ",12422
Here to Stay: Celebrating 40 Years at the Architecture Archives,"Tuesday, October 15","May 23 - June 1, 2025",All Day,"Hunt Library, Fourth Floor","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.","This University Libraries’ exhibition celebrates the 40th anniversary of the Architecture Archives, which was founded to create, conserve and promote the rich history of Pittsburgh’s buildings and tell part of the story of this dynamic city.",7307
Junior Communications Studio Exhibit,"Tuesday, October 15","May 23 - June 1, 2025",All Day,"Cohon University Center, Main Hallway","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.","Get inspired to vote by attending “Your Vote, Your Future,” an exhibition created by the School of Design’s third-year communication design students that emphasizes the power of voting and civic engagement.",12484
"Like, Totally Transformative: CMU in the 1980s","Tuesday, October 15","Aug. 30 - Nov. 27, 2024",All Day,Hunt Library Gallery,"This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!","This University Libraries’ exhibit is a portal to the past, a snapshot of life on campus more than four decades ago as our world began to transform!",10974
National Disability Employment Awareness Month,"Tuesday, October 15","October 1 - 31, 2024",All Day,,,"Carnegie Mellon University intentionally fosters a community where all voices and views are heard and respected, which includes religious backgrounds and spiritual beliefs.",9893
17th International Exhibition of Botanical Art & Illustration,"Wednesday, October 16","October 16, 2024",9 a.m. - 5 p.m. M-F (to Dec 17),"Hunt Institute for Botanical Documentation, 5th Fl...",This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,This Hunt Institute for Botanical Documentation exhibition includes 43 artworks by 43 artists representing 19 countries.,8423
LGBTQIA+ Faculty and Staff Alliance Monthly Meeting,"Wednesday, October 16","October 16, 2024",Noon - 1 p.m.,Online,A monthly virtual meeting for the LGBTQIA+ Faculty and Staff Alliance Employee Resource Group.,A monthly virtual meeting for the LGBTQIA+ Faculty and Staff Alliance Employee Resource Group.,12477
Gender in Process,"Wednesday, October 16","October 16, 2024",3:30 - 5 p.m. Weekly (to Dec 11),Morewood Gardens Group Room,"This is a supportive space for healing from internalized cissexism and transphobia, together.","This is a supportive space for healing from internalized cissexism and transphobia, together.",10902
Master’s Student Support Group,"Wednesday, October 16","October 16, 2024",4 - 5 p.m. Weekly (to Dec 13),"Highmark Center for Health, Wellness and Athletics...",The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.,The Master’s Student Support Group provides an opportunity for students to come together and discuss the unique experiences and challenges of being a Master’s student.,10916
