event_name,category,start_month,start_day,start_year,end_month,end_day,end_year,start_time,end_time,content,location,revenue,starting price
Roger Jacoby: Pittsburgh Stories,Arts + Culture,Oct,25,2024,Jan,5.0,2025.0,,,"Wood Street Galleries is pleased to present the world premiere of three newly restored experimental films by Roger Jacoby (b. New York, 1944–1985), a pivotal figure bridging the pre- and post-liberation eras of gay experimental filmmaking.","601 Wood St, Pittsburgh, PA 15222",Wood Street Galleries,
Funny Girl,Arts + Culture,Jan,7,2025,Jan,12.0,2025.0,,,"Featuring one of the most iconic scores of all time by Jule Styne and Bob Merrill, an updated book from Harvey Fierstein based on the original classic by Isobel Lennart, tap choreography by Ayodele Casel, choreography by Ellenore Scott, and direction from Michael Mayer, this love letter to the theatre has the whole shebang!","7th St and Penn Ave, Pittsburgh, PA 15222",Benedum Center,
The Science Behind PIXAR,Family,May,25,2024,Jan,5.0,2025.0,,,"Step into the world of Pixar in this upcoming blockbuster exhibition with Woody, Buzz Lightyear, Mike and Sulley, Nemo and Dory, and all your favorite Pixar characters!","1 Allegheny Ave, Pittsburgh, PA 15212",Carnegie Science Center,
Kim Bond: We Are Not Alone,Arts + Culture,Sep,6,2024,Jan,12.0,2025.0,,,Kim Bond: We Are Not Alone is curated by Steph Neary & Anastasia James and presented by the Pittsburgh Cultural Trust. This exhibition is part of a series of exhibitions in collaboration with VaultArt Studio that promotes the inclusion of artists with disabilities in contemporary art.,"707 Penn Avenue, Pittsburgh, PA 15222",707 Gallery,
KANSAS,Music,Dec,11,2024,Dec,11.0,2024.0,7:30 pm,10:00 pm,50th Anniversary Tour - Another Fork in the Road,"7th St and Penn Ave, Pittsburgh, PA 15222",Benedum Center,
Lit Friday,Arts + Culture,Dec,13,2024,Dec,13.0,2024.0,6:00 pm,7:00 pm,"Lit Fridays is a literary-focused, virtual salon presented by the August Wilson African American Cultural Center",,Virtual Event,
MJ the Musical,Arts + Culture,Nov,19,2024,Dec,1.0,2024.0,,,"He is one of the greatest entertainers of all time. Now, Michael Jackson’s unique and unparalleled artistry comes to Pittsburgh as MJ, the multi Tony Award®-winning new musical centered around the making of the 1992 Dangerous World Tour, begins a tour of its own.","7th St and Penn Ave, Pittsburgh, PA 15222",Benedum Center,
Storytime Spotlight,Arts + Culture,Dec,17,2024,Dec,17.0,2024.0,6:30 pm,7:30 pm,"Storytime Spotlight is an educational series presented by the August Wilson African American Cultural Center that introduces young children to books that features stories, songs, rhymes, and fingerplays.",,Virtual Event,
AWCommunity Day,Community,Dec,14,2024,Dec,14.0,2024.0,12:00 pm,4:00 pm,"This free family-friendly event features local vendors, artisans, performers, and themed community building activations at the August Wilson African American Cultural Center",,August Wilson African American Cultural Center,
The Hobbit,Arts + Culture,Oct,23,2024,Nov,10.0,2024.0,,,"In this all-ages adventure, J.R.R. Tolkien’s magical Middle Earth transitions from page to stage in spellbinding fashion.","621 Penn Ave, Pittsburgh, PA 15222",O'Reilly Theater,
Justin Timberlake,Music,Dec,14,2024,Dec,14.0,2024.0,7:30 pm,11:00 pm,The Forget Tomorrow World Tour,"1001 Fifth Ave, Pittsburgh, PA 15219",PPG Paints Arena,
Miguel Muñoz in What is Magic for You?,Entertainment,Oct,2,2024,Nov,3.0,2024.0,,,"Miguel Muñoz, World Champion of Magic brings us an intimate and magical show where the surprise, the impossible, the poetry and the absurd will be present at all times.","811 Liberty Ave, Pittsburgh, PA 15222",Liberty Magic,
History Center and Fort Pitt Museum: Free Admission for Kids,Community,Oct,1,2024,Nov,30.0,2024.0,,,"The Smithsonian-affiliated Senator John Heinz History Center and Fort Pitt Museum will offer free admission for kids this fall, thanks to the generous support of UPMC and UPMC Health Plan.","1212 Smallman St, Pittsburgh, PA 15222",Heinz History Center,
&amp; Juliet,Arts + Culture,Oct,29,2024,Nov,3.0,2024.0,,,"Created by the Emmy®-winning writer from “Schitt’s Creek,” this hilarious new musical flips the script on the greatest love story ever told.","7th St and Penn Ave, Pittsburgh, PA 15222",Benedum Center,
Iron Maiden,Music,Nov,8,2024,Nov,8.0,2024.0,7:30 pm,10:30 pm,The Future Past World Tour 2024,"1001 Fifth Ave, Pittsburgh, PA 15219",PPG Paints Arena,
American Society of Microbiology - Annual Biomedical Research Conference for Minority Students,Convention,Nov,14,2024,Nov,16.0,2024.0,,,"The Annual Biomedical Research Conference for Minority Students (ABRCMS) aims at promoting the underrepresented minorities in technology, science, engineering and mathematics and provides students with a unique opportunity to showcase their research, activities which are designed to enhance their professional development skills and networking activities.","1000 Fort Dusquene Boulevard, Pittsburgh, PA 15222",David L. Lawrence Convention Center,
